STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,UNIT_MEASURE,Unit of measure,REF_AREA,Reference area,FREQ,Frequency,H_TYPE,Hotel Type,H_INDICATOR,Hotels Indicator,GUEST_REGION,Guests Nationality,SOURCE_DETAIL,Source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_COMMENT,Footnotes,UNIT_MULT,Unit multiplier
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,19221,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,19180,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,1058,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,57522,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,54294,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,47874,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,47192,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,44148,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,38852,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,35596,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,245,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,235,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,222,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,215,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,195,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,175,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,5STAR,5 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,166,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,35653,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,34970,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,35893,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,35747,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,35762,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,35805,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,36599,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,324,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,312,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,315,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,331,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,334,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,332,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HTAP,Total Hotel Apartments,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,358,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,269,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,258,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,237,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,236,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,222,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,196,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,4STAR,4 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,178,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,881,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,832,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,774,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,805,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,772,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,726,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,HOT,Total Hotels,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2016,,702,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,163,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,169,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,STA,Standard,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,189,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2022,,203948,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2021,,193913,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2020,,180257,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,183193,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2018,,173086,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,_T,Total Hotels and Hotel Apartments,ROOM,Rooms,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2017,,162225,,,,,,,,,
DATAFLOW,FCSA:DF_HOT_TYPE(4.3.0),"Hotel Establishments by Type, Class and No. of Rooms",I,H,Hotels,NUMBER,Number,AE,UAE,A,Annual,123STAR,1-3 Star,EST,Hotel establishments,_Z,Not Applicable,FCSC,Federal Competitiveness and Statistics Centre,2019,,354,,,,,,,,,
